Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Bad Medicine,Becker,Ponsford,799.0,288.0,84.0,32.0,,
"Badger (North, South)",Murray,Iona,,,,,,
Badger,Polk,Erskine,353.0,342.0,19.0,19.0,,
Bagley,Clearwater,Leonard,94.0,50.0,39.0,,,
Baker,Cass,Mae,31.0,31.0,25.0,14.0,,
Bakers,Stearns,Sartell,45.0,45.0,6.0,3.3,,
Baker’s,McLeod,Brownton,311.0,,1.5,1.0,,
Bald Eagle,Ramsey,White Bear Lake,1268.0,751.0,36.0,2.6,62000200.0,
Baldwin,Anoka,Lino Lakes,188.0,,4.5,3.0,,
Ball Club,Cook,Grand Marais,196.0,159.0,25.0,9.0,,
Ball Club,Itasca,Ball Club,3936.0,984.0,85.0,12.0,31081200.0,
Ballantyne,Blue Earth,Madison Lake,350.0,301.0,58.0,3.0,,
Balm,Beltrami,Solway,512.0,282.0,33.0,11.0,,
Balsam,Itasca,Taconite,710.0,296.0,37.0,11.0,,
Ban,St. Louis,Orr,380.0,380.0,10.0,5.0,,
Bane Pond,Morrison,Lastrup,,,,,,
Bankers,Stearns,Padua,27.0,27.0,14.0,8.0,,
Barker,Cook,Lutsen,149.06,149.06,15.0,3.0,,
Barnes,Carver,Norwood Young America,133.0,,,1.0,,
Barnum,Cass,Hackensack,134.0,84.0,30.0,21.0,,
Barrett,Grant,Barrett,544.0,434.0,28.0,5.5,,
Barsness,Douglas,Brandon,91.0,,,6.0,,
Barthel's Pond,Hennepin,Bloomington,3.0,3.0,7.0,2.0,,
Bartlett,Koochiching,Northome,292.0,292.0,16.0,3.8,,
Bass (Big),Beltrami,Bemidji,380.0,315.0,17.0,,,
Bass (Little),Beltrami,Bemidji,343.0,288.0,22.0,15.0,,
Bass,Crow Wing,Merrifield,309.0,185.0,24.0,8.0,,
Bass,Faribault,Delavan,203.0,171.0,20.0,4.5,,
Bass,Itasca,Cohasset,2407.0,1254.0,76.0,11.4,31057600.0,
Bass,Mahnomen,Waubun,689.0,294.0,26.0,15.0,,
Bass,Morrison,Burtrum,23.0,23.0,,9.94,,
Bass,Morrison,Fort Ripley,,,,,,
Bass,Morrison,Randall,13.0,13.0,,6.9,,
Bass,Otter Tail,Underwood,292.0,138.0,36.0,12.1,,
Bass,Pine,Finlayson,189.0,148.0,24.0,7.0,,
Bass,St. Louis,Soudan,238.0,231.0,17.0,7.0,,
Bass Pond,Cass,Pontoria,2.75,2.75,60.0,7.0,,
Basswood,Lake,Ely,14071.0,7034.0,111.0,10.75,38064500.0,
Bassett,St. Louis,Fairbanks,442.0,196.0,21.0,7.5,,
Battle,Otter Tail,Effie,199.0,199.0,15.0,11.5,,
Battle Creek,Washington,Woodbury,103.0,,14.0,,,
Baumbach,Douglas,Brandon,173.0,,,1.0,,
Bavaria,Carver,Victoria,162.0,65.0,66.0,5.0,,
Baxter City Hall Pond,Crow Wing,Baxter,4.0,4.0,7.0,2.0,,
Bay,Crow Wing,Deerwood,2392.0,1005.0,74.0,14.0,18003400.0,
Bde Maka Ska,Hennepin,Minneapolis,401.0,123.0,82.0,15.0,,
Beam Pond,Ramsey,Gladstone,13.0,13.0,8.0,5.3,,
Bean,Cottonwood,Storden,164.0,162.0,12.0,1.5,,
Bean,Lake,Silver Bay,31.46,16.0,26.0,15.7,,
Bear,Carlton,Barn Lake Area,91.0,70.0,31.0,8.2,,
Bear,Freeborn,Twin Lakes,1033.0,1033.0,6.0,,,
Bear,Itasca,Nashwauk,339.0,268.0,16.0,3.5,,
Bear,Otter Tail,Perham,181.0,120.0,32.0,7.6,,
Bear,Stearns,St Anthony,35.0,35.0,12.0,5.0,,
Bear Creek Reservoir,Olmsted,Chester,104.17,104.17,37.0,18.5,,
Bear Head,St. Louis,Tower,674.0,371.0,46.0,12.0,,
Bear Island,St. Louis,Babbitt,2351.0,879.0,62.0,10.0,,
Bearskin,Cook,Grand Marais,509.0,94.0,78.0,20.0,,
Beast,St. Louis,Kabetogama,85.0,47.0,66.0,15.0,,
Beatty,Sibley,Gaylord,78.0,0.0,,1.0,,
Beaulieu,Mahnomen,Bejou,261.0,,5.0,3.0,,
Beautiful,Stearns,St Rosa,29.0,29.0,34.0,12.0,,
Beauty,Itasca,Goodland,217.0,152.0,31.0,9.0,,
Beauty,Morrison,Flensburg,23.0,23.0,,3.1,,
Beauty,Todd,Long Prairie,237.0,137.0,27.0,8.0,,
Beaver,St. Louis,Buhl,16.0,,,,,
Beaver,Stearns,Luxemberg,152.0,49.0,27.0,7.0,,
Beaver 1,Stearns,St Augusta,24.0,24.0,12.0,9.0,,
Beaver 2,Stearns,St Augusta,9.0,9.0,7.0,3.0,,
Beaver Dam,Wright,Dassel,56.0,56.0,,3.74,,
Beaver Pond,Stearns,St Augusta,13.0,13.0,7.0,4.0,,
Beckendorf Pond,Renville,Delhi,6.0,6.0,6.0,3.0,,
Becker,Stearns,Richmond,221.38,170.0,20.0,5.5,,
Becker Pond,Sherburne,Santiago,,,,,,
Becker Sewage,Sherburne,Clear Lake,25.0,25.0,,4.4,,
Bee Cee,Itasca,Grand Rapids,29.32,18.0,33.0,6.5,,
Bee Tree,Todd,Lincoln,22.0,22.0,14.0,6.0,,
Beebe,Otter Tail,Dalton,69.0,,,5.0,,
Beebe,Wright,St. Michael,322.88,135.0,27.0,6.0,,
Beers,Otter Tail,Pelican Rapids,195.0,96.0,61.0,14.5,,
Belgrade Pond,Stearns,Belgrade,16.0,16.0,2.0,2.0,,
Belle,Meeker,Strout,149.0,149.0,,2.3,,
Belle,Meeker,Hutchinson,826.0,383.0,25.0,2.8,,
Belle Taine,Hubbard,Nevis,1185.0,771.0,56.0,14.0,,
Bello,Itasca,Marcell,493.0,251.0,58.0,,,
Belmont,Otter Tail,Clitherall,192.0,108.0,34.0,11.8,,
Beltrami,Beltrami,Bemidji,543.0,300.0,50.0,11.0,,
Bemidji,Beltrami,Bemidji,6420.0,1862.0,76.0,6.0,,
Benedict,Hubbard,Benedict,440.0,172.0,91.0,14.0,,
Benedict Pit,Clay,Sabin,26.0,26.0,165.0,52.864,,
Bennett,Ramsey,Roseville,29.0,28.0,9.0,3.0,,
Benton,Lincoln,Lake Benton,2857.0,2857.0,9.0,1.6,,
Benton,Meeker,Casey,34.0,34.0,14.0,6.0,,
Benz,Washington,Withrow,32.0,32.0,14.0,5.18,,
Berg,St. Louis,Melrude,151.0,151.0,10.0,4.0,,
Berliner,Carver,Mayer,46.0,,,3.0,,
Bernhart,Morrison,Lincoln,30.0,30.0,,6.82,,
Bertha,Crow Wing,Jenkins,334.0,142.0,64.0,10.5,,
Bertram,Wright,Monticello,110.69,23.0,44.0,8.0,,
Beseau,Becker,Lake Park,226.0,120.0,27.0,12.0,,
Beulah Pond,Sherburne,Big Lake,,,,,,
Bible,Aitkin,Hill City,19.06,11.0,45.0,10.4,,
Bible's Duck Slough,Benton,Duelm,,,,,,
Big,Beltrami,Bemidji,3533.0,2106.0,35.0,13.0,,
Big,Carlton,Sawyer,507.0,440.0,25.0,13.5,,
Big,Grant,Herman,285.0,,,2.0,,
Big,St. Louis,Ely,1789.0,1514.0,22.0,7.0,,
Big,St. Louis,Hoyt Lakes,805.0,379.0,30.0,9.0,,
Big,Sherburne,Big Lake,251.0,110.0,48.0,9.5,,
Big,Stearns,Richmond,18.0,18.0,15.0,8.9,,
Big,Stearns,Richmond,403.0,227.0,42.0,4.8,,
Big,Todd,Cushing,277.0,166.0,21.0,7.2,,
Big Birch,Todd,Grey Eagle,2107.0,642.0,81.0,6.0,,
Big Carnelian,Washington,Stillwater,464.0,131.0,66.0,9.0,,
Big Diamond,Itasca,Marble,122.0,61.0,31.0,17.0,,
Big Dick,Itasca,Marcell,249.0,152.0,20.0,10.0,,
Big Fish,Stearns,Cold Spring,558.0,201.0,70.0,14.8,,
Big Island,Itasca,Marcell,238.0,202.0,42.0,14.5,,
Big Kandiyohi,Kandiyohi,Lake Lillian,2692.0,2692.0,15.0,2.8,34008600.0,
Big Logan,Aitkin,Hassman,33.0,33.0,13.0,3.0,,
Big Marine,Washington,Forest Lake,1756.0,1152.0,60.0,9.0,,
Big McDonald 2,Otter Tail,Dent,489.0,295.0,33.0,13.6,,
Big Moose,Beltrami,Pennington,568.0,241.0,71.0,13.0,,
Big Moose,St. Louis,Ely,1032.0,1012.0,23.0,,,
Big Mud,Sherburne,Orrock,224.0,224.0,,3.71,,
Big Ole,Itasca,Marcell,179.0,84.0,65.0,15.5,,
Big Pine,Isanti,Spring Lake,16.0,,,5.0,,
Big Pine,Pine,Finlayson,387.0,135.0,25.0,9.5,,
Big Portage,Cass,Backus,918.0,901.0,23.0,7.2,,
Big Rabbit (East),Crow Wing,Cuyuna,638.0,242.0,337.0,16.0,,
Big Rabbit (West),Crow Wing,Cuyuna,531.0,165.0,50.0,13.0,,
Big Rice,Cass,Remer,2832.0,2832.0,5.0,5.0,,
Big Rice,St. Louis,Ely,420.0,420.0,5.0,2.0,,
Big Rice,Stearns,Farming,180.0,180.0,18.0,4.0,,
Big Rush,Becker,Ponsford,917.0,917.0,9.0,6.5,,
Big Sand,Hubbard,Park Rapids,1635.0,465.0,135.0,25.0,,
Big Sandy,Aitkin,McGregor,6526.0,3067.0,84.0,5.0,,
Big Spunk,Stearns,Avon,440.0,150.0,38.0,10.0,,
Big Stone,Big Stone,Ortonville,12610.0,12484.0,16.0,14.75,6015200.0,
Big Stone NWR East Pool,Lac qui Parle,Correll,1286.0,1286.0,42.0,2.0,,
Big Stoney,Hubbard,Park Rapids,319.0,223.0,24.0,4.0,,
Big Sucker,Itasca,Nashwauk,230.0,138.0,36.0,5.0,,
Big Sugar Bush,Becker,Richwood,522.0,297.0,42.0,16.0,,
Big Swan,Meeker,Kingston,628.0,338.0,32.0,4.1,,
Big Swan,Todd,Burtrum,918.0,404.0,45.0,5.0,,
Big Too Much,Itasca,Talmoon,232.0,56.0,95.0,13.0,,
Big Trout,Crow Wing,Cross Lake,1342.0,369.0,128.0,11.0,,
Big Watab,Stearns,Avon,227.0,46.0,123.0,10.0,,
Big Wolf,Beltrami,Bemidji,1094.0,390.0,57.0,9.5,,
Bingham,Cottonwood,Bingham Lake,259.0,259.0,10.0,6.0,,
Birch,Aitkin,Aitkin,421.0,421.0,8.0,3.0,,
Birch,Becker,Callaway,233.0,,25.0,5.0,,
Birch,Cass,Hackensack,1284.0,755.0,45.0,7.7,,
Birch,Cass,Remer,255.0,51.0,30.0,10.0,,
Birch,Lake,Ely,711.0,342.0,34.0,9.0,,
Birch,Meeker,Casey,85.0,85.0,,4.96,,
Birch,Sherburne,Big Lake,158.78,117.0,18.0,2.5,,
Birch,St. Louis,Babbitt,5628.0,1060.0,25.0,4.0,69000300.0,
Birch,Wright,Buffalo,98.7,63.0,26.0,6.13,,
Birch,Wright,Monticello,99.82,37.0,52.0,11.0,,
Birch Pond,Stearns,Spaulding,7.0,7.0,12.0,2.0,,
Birch (Big),Todd,Grey Eagle,2108.0,642.0,81.0,4.2,,
Birch (Little),Todd,Grey Eagle,838.0,277.0,89.0,4.5,,
Black,Beltrami,Turtle River,246.0,125.0,42.0,,,
Black,Crow Wing,Deerwood,106.4,38.0,47.0,12.0,,
Black,Wright,Buffalo,97.91,81.9,50.0,5.5,,
Black,Wright,Enfield,38.0,38.0,,4.92,,
Black Dog,Dakota,Burnsville,275.0,,,1.0,,
Black Duck,St. Louis,Orr,1185.0,498.0,30.0,10.5,,
Black Oak,Stearns,New Munich,98.16,112.0,19.0,3.5,,
Black Oak,Stearns,Melrose,101.0,101.0,24.0,14.0,,
Black Shadow,Aitkin,Aitkin,22.4,6.0,60.0,10.0,,
Blackduck,Beltrami,Blackduck,2596.0,1374.0,28.0,3.0,,
Blackface,Aitkin,Ball Bluff,191.8,170.0,18.0,10.5,,
Blackhawk,Dakota,Eagan,40.0,47.0,12.0,8.0,,
Blacks,Sherburne,Big Lake,17.0,17.0,,5.74,,
Blackwater,Cass,Longville,722.0,336.0,67.0,13.7,,
Blackwater,Itasca,Cohasset,719.0,633.0,72.0,9.4,,
Blackwell,Douglas,Holmes City,307.0,199.0,42.0,11.0,,
Bladder,Hubbard,Nevis,223.0,,3.5,2.0,,
Blanche,Otter Tail,Ottertail,1268.0,1002.0,64.0,9.0,,
Blandin,Itasca,Grand Rapids,449.0,366.0,38.0,15.0,,
Blind,Aitkin,Aitkin,370.0,359.0,17.0,6.0,,
Block,Otter Tail,Urbank,263.0,132.0,23.0,5.8,,
Bloody,Murray,Currie,248.0,248.0,9.0,1.0,,
Bloom,Itasca,Marcell,34.0,,30.0,12.0,,
Bloom's,Chisago,Shafer,148.0,,,7.0,,
Blue,Aitkin,Aitkin,53.5,14.0,106.0,9.0,,
Blue,Houston,La Crescent,475.0,475.0,14.0,4.0,,
Blue,Hubbard,Park Rapids,324.0,81.0,84.0,27.0,,
Blue,Isanti,Princeton,309.0,134.0,31.0,5.0,,
Blueberry,Wadena,Menahga,522.0,522.0,15.0,4.5,,
Bluewater,Itasca,Grand Rapids,364.0,72.0,120.0,14.5,,
Boedigheimer,Otter Tail,Richville,176.0,93.0,26.0,13.5,,
Bohall,Clearwater,Lake Itasca,23.0,,,11.0,,
Bolfing,Stearns,Cold Spring,108.96,70.0,36.0,3.7,,
Bone,Washington,Forest Lake,210.0,124.0,30.0,9.5,,
Bonnie,Crow Wing,Merrifield,76.0,39.0,42.0,13.0,,
Boo,Meeker,Dassel,37.0,37.0,,1.79,,
Boomerang,Morrison,Randall,,,,,,
Boomerang,Morrison,Fort Ripley,,,,,,
Boot,Aitkin,Ball Bluff,79.0,39.0,67.0,7.5,,
Boot,Anoka,Linwood,91.0,0.0,19.0,4.0,,
Boot,Becker,Two Inlets,348.0,81.0,109.0,16.0,,
Boot,Cass,Mildred,47.0,47.0,14.0,5.0,,
Boot,Jackson,Lakefield,151.0,,6.0,1.0,,
Boot,Lake,Prairie Portage,197.0,134.0,83.0,19.0,,
Boot,St. Louis,Kabetogama,51.0,51.0,25.0,12.0,,
Boot,St. Louis,Winton,322.0,163.0,27.0,9.0,,
Booth Pond,Wright,Rockford,,,,,,
Bootleg,Beltrami,Bemidji,332.0,203.0,30.0,8.5,,
Botkers,Big Stone,Graceville,44.4,36.0,18.5,5.3,,
Borden,Crow Wing,Garrison,957.0,304.0,84.0,9.0,,
Borer,Le Sueur,Montgomery,37.0,,,1.0,,
Bouder,Cook,Grand Marais,136.0,133.0,17.0,,,
Boulder[11],St. Louis,Duluth,3259.66,3206.59,18.0,,69037300.0,
Boulder,Hubbard,Dorset,360.0,180.0,28.0,9.5,,
Bowstring,Itasca,Deer River,9220.0,4736.0,32.0,6.0,,
Boy,Cass,Boy River,3186.0,2007.0,45.0,6.5,,
Boyd,Sherburne,Santiago,102.0,102.0,,5.5,,
Boyer,Becker,Lake Park,310.0,204.0,26.0,5.5,,
Brand,Carver,Norwood Young America,68.0,,,3.0,,
Brandon,Douglas,Holmes City,51.0,,,8.0,,
Brawner,Lyon,Russell,29.96,20.0,18.0,5.2,,
Brenner,Kandiyohi,Sunburg,81.0,,,7.0,,
Brickyard Clayhole,Carver,Chaska,17.0,6.0,43.0,10.272,,
Briggs,Sherburne,Clear Lake,404.36,170.0,25.0,3.0,,
Brockway Slough,Stearns,St Stephen,212.0,212.0,10.0,5.0,,
Brooks,Wright,Cokato,100.19,58.3,21.0,3.0,,
Brophy,Douglas,Alexandria,289.0,150.0,44.0,11.5,,
Brouhaha,Morrison,Harding,,,,,,
Brownie Pond,Morrison,Bowlus,,,,,,
Browns,Lake,Ely,205.0,170.0,19.0,12.0,,
Brule,Cook,Grand Marais,4617.0,1431.0,78.0,15.0,16034800.0,
Bryant,Hennepin,Eden Prairie,161.0,64.0,45.0,5.4,,
BSNWR West Pool,Lac qui Parle,Odessa,1479.0,1479.0,24.0,3.0,,
Buchanan,Otter Tail,Ottertail,929.0,835.0,42.0,11.0,,
Buck,Beltrami,Cass Lake,271.0,68.0,40.0,16.0,,
Buck,Itasca,Nashwauk,492.0,180.0,31.0,8.0,,
Buckeye Pit,Itasca,,48.0,48.0,80.0,19.0,,
Buckman,Itasca,Marcell,228.0,,10.0,6.0,,
Bucks,Sherburne,Big Lake,15.0,15.0,,7.11,,
Budd,Clearwater,Lake Itasca,,,,,,
Budd,Martin,Fairmont,228.0,111.0,23.0,3.0,,
Buffalo,Becker,Richwood,376.0,192.0,38.0,,,
Buffalo,Murray,Dovray,124.0,124.0,8.5,1.3,,
Buffalo,Wright,Buffalo,1552.0,760.0,33.0,2.0,,
Buffalo Marsh,Murray,Dovray,51.0,51.0,5.0,1.3,,
Buffalo Slough,Goodhue,Etter,26.0,26.0,7.0,2.0,,
Bulge,Cook,Lutsen,11.0,11.0,8.0,8.0,,
Bullfrog,Lake,Ely,62.0,43.0,26.0,10.0,,
Bullhead,Morrison,Little Falls,,,,,,
Bullhead,Otter Tail,Clitherall,65.0,,8.0,2.0,,
Bullhead,Watonwan,St. James,80.0,,,4.0,,
Bunt,Stearns,Clearwater,109.0,109.0,12.0,3.808,,
Burandt,Carver,Waconia,97.0,67.0,24.0,3.5,,
Burgan,Douglas,Alexandria,174.0,47.0,43.0,5.0,,
Burnt Shanty,Itasca,Marcell,182.0,127.0,35.0,10.5,,
Burntside,St. Louis,Ely,7139.0,1478.0,126.0,20.0,69011800.0,
Burns Pit,St. Louis,Eveleth,20.0,20.0,95.0,18.0,,
Burr Oak,Kandiyohi,Kandiyohi,27.0,27.0,16.0,8.0,,
Burrows,Itasca,Marcell,291.0,227.0,38.0,12.0,,
Bush,Hennepin,Bloomington,172.0,110.0,28.0,16.8,,
Busties,Itasca,Holyoke,237.0,71.0,44.0,,,
Butler,Wright,Oster,129.0,129.0,,1.75,,
Butternut,Crow Wing,Bay Lake,26.0,21.0,34.0,10.0,,
Butternut,Meeker,Dassel,83.0,83.0,12.0,4.5,,
Butternut,Wright,Rice Lake,121.0,,,2.0,,
Button Box,Itasca,Togo,81.4,68.0,18.0,11.0,,
Buzzle,Beltrami,Pinewood,202.0,43.0,83.0,14.0,,
Byer,Stearns,Cold Spring,134.0,134.0,17.0,12.0,,
Byer Pond,Stearns,Cold Spring,9.0,9.0,8.0,5.0,,
Byllesby,Dakota,Cannon Falls,1435.0,976.0,50.0,2.6,,
Byron,Meeker,Lamson,349.0,349.0,,2.72,,
Cadotte,St. Louis,Fairbanks,325.0,230.0,18.0,12.0,,
Calhoun,Kandiyohi,Spicer,618.0,618.0,13.0,5.7,,
Cameron,Polk,Erskine,224.0,224.0,9.0,,,
Cameron,St. Louis,Cotton,162.0,81.0,27.0,6.5,,
Camile,Morrison,Randall,28.0,28.0,,9.2,,
Camp,Crow Wing,Pine Center,478.0,206.0,42.0,6.0,,
Camp,Sherburne,Clear Lake,77.05,55.9,34.0,10.0,,
Camp,Swift,Swift Falls,203.0,97.0,26.0,3.83,,
Camp,Wright,Maple Lake,122.75,41.0,20.0,3.0,,
Campbell,Beltrami,Puposky,475.0,222.0,25.0,,,
Campbell,Carver/McLeod,Winsted,70.0,,,0.7,,
Candle,St. Louis,Buhl,10.0,10.0,,,,
Canisteo Pit,Itasca,Coleraine,40.23,130.0,311.0,29.0,,
Cannon,Goodhue,Red Wing,80.0,80.0,8.0,6.5,,
Cannon,Rice,Faribault,1591.0,1591.0,15.0,2.0,,
Cannon River Reservoir,Rice,Faribault,57.0,57.0,35.0,3.0,,
Cantlin,Sherburne,Lake Fremont,117.0,117.0,,4.46,,
Canton,Morrison,Cushing,,,,,,
Canton Pit,St. Louis,Biwabik,250.0,13.0,100.0,13.0,,
Captain Luke,Itasca,Bigfork,30.0,30.0,32.0,14.208,,
Capote,Lake,,17.0,17.0,12.0,8.224,,
Carey,St. Louis,Hibbing,139.0,139.0,13.5,5.0,,
Caribou,Cook,Lutsen,728.0,439.0,30.0,8.5,,
Caribou,Cook,Grand Marais,255.0,204.0,26.0,7.0,,
Caribou,Itasca,Marcell,240.0,45.0,152.0,28.0,,
Carlos,Douglas,Alexandria,2520.0,910.0,163.0,11.0,21005700.0,
Carlton,Chippewa,Montevideo,28.0,28.0,24.0,3.0,,
Carlz Pit,Itasca,Keewatin,89.0,89.0,155.0,17.344,,
Carman,Becker,Elbow Lake Village,116.0,116.0,12.0,4.6,,
Carnation Pond,Morrison,Harding,,,,,,
Carnelian Island Slough,Stearns,Maine Prairie,24.0,24.0,16.0,7.0,,
Carnelian,Stearns,Kimball,164.0,63.0,39.0,11.0,,
Carrigan,Wright,Waverly,149.0,149.0,,1.94,,
Carter,Beltrami,Tenstrike,31.0,18.0,69.0,12.0,,
Carter,Sherburne,Clear Lake,29.0,29.0,,4.99,,
Carter,Stearns,Watkins,26.0,26.0,16.0,3.0,,
Carver,Washington,Woodbury,50.0,25.0,36.0,3.0,,
